Unnamed: 0,ID,Name,Age,Email,Join Date,Salary,Department,is_valid_email
0,1e407ff9-6255-489d-a0de-34135d4f74bd,Hunter Thomas,25.0,xlopez@hotmail.com,2000-01-01,88552.0,Sales,True
4,14ed3e6a-e0f5-4bbe-8d93-8665267f5c90,Julia Lee,71.0,figueroakayla@yahoo.com,2000-01-01,143456.0,Marketing,True
5,f92ea13f-24d3-4792-91e4-5b0e07d90c2c,Lisa Bailey,81.0,milleryvonne@fowler-york.com,,123018.0,,True
9,d06f507d-62e5-4bd6-a252-4e60e109d324,Jay Fisher,44.0,denisemaynard@jordan.com,2022-12-08,37701.72599250199,HR,True
10,d5fe9321-49cf-4f14-ac96-7aea1204247b,Craig Conway,88.0,gerald47@woodard-smith.com,2000-01-01,81214.52597186244,Engineering,True
12,da63d159-e9b0-4b92-b0fe-4e87df3aebc1,Amber Marsh,23.0,robert43@gmail.com,2023-09-08,112970.0,Engineering,True
13,5ca27087-5c90-4d42-94d0-7e9ee3f422b9,Patrick Mooney,57.0,bowersjasmine@hotmail.com,2023-06-24,41511.139645951946,,True
14,9b83a5e5-9516-493f-86f8-d6c445edb501,Nicole Cardenas,60.0,griffinlinda@harrison.com,,51625.81440265695,Marketing,True
16,241e20d7-cc36-495e-86c2-2928bbaa93d8,Mark Wilkins,54.16264995136712,longjennifer@parker.biz,,85794.0,,True
21,7aa89cdd-e328-4425-9556-b0b3da9e4f2a,Danny Martinred,64.0,amyclements@lee.biz,2022-08-30,89241.0,HR,True
22,88e92fab-a06c-4c53-a59a-699bf8a583b5,Curtis Parkerlot,36.0,daniellewilliams@gmail.com,2023-12-08,89241.0,HR,True
23,13b6428a-ba54-4531-87a1-72c3c3ccf765,Laura Davis,60.0,garciaralph@hayes-hernandez.biz,,61209.0,,True
25,58d4c7cd-aa32-4429-a96e-e881c676852c,Sharon Mcclure,25.0,mcmahonchristina@hotmail.com,2024-06-09,89208.0,Marketing,True
26,ea358a83-5e3b-41dd-b00b-9cbb2bb85b45,Lori Hernandez,83.0,elizabeth22@yahoo.com,2021-05-29,52075.0,Engineering,True
27,2f99edc1-c0e7-4963-8b33-09465a2ac68f,Christina Norriscompare,84.0,haleygary@yahoo.com,2021-07-17,92668.0,Engineering,True
29,31f74cb1-8ed7-464a-9014-5b833cf9e5db,Trevor Smith,30.0,robertflowers@diaz.biz,2000-01-01,133390.0,,True
35,6f5313d3-eeb9-4acb-bd8a-47797d747c5a,Ryan Danielstv,35.0,hward@yahoo.com,2023-01-14,108317.0,,True
36,3fc48575-3616-4fa9-a554-610f92c8c681,Veronica Schmidt,40.0,steven75@yahoo.com,2020-03-13,65482.0,Engineering,True
37,de98cc3c-0802-4824-929f-73eee22aa40b,Richard Brooks,56.0,lukewalker@gmail.com,,116303.0,Sales,True
38,0bb8f303-5515-429e-a05a-7c9ee675a50b,Cesar Morrison,72.0,lisa58@gmail.com,2020-06-14,162857.76794247003,HR,True
39,a3f0fd46-f9c7-4f3f-8223-49e50033254a,Sandra Young,76.0,williamsummers@hotmail.com,2021-06-30,54014.0,,True
42,3a6b1096-f7a7-4901-a31a-9db676895801,Kayla Carpenter,61.0,dcooper@adams.net,2021-06-08,82857.39804033376,Engineering,True
